dataset,category,run_dir,num_neighbours,encoder_name,masking,auto_masking,coreset_subsampling,sampling_ratio,precision,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,macaroni2,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/visa/macaroni2,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.1,900,90,0.7056000232696533,0.699999988079071,0.9271286129951477,0.10795890539884567
visa,capsules,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/visa/capsules,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.1,542,55,0.9076666831970215,0.8700000047683716,0.972650945186615,0.3854283094406128
visa,pcb1,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/visa/pcb1,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.1,904,91,0.8646000027656555,0.8269230723381042,0.9919594526290894,0.7173541188240051
