dataset,category,run_dir,num_neighbours,encoder_name,masking,auto_masking,coreset_subsampling,sampling_ratio,precision,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,macaroni2,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/visa/macaroni2,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.25,900,225,0.7278499603271484,0.7094017267227173,0.929185688495636,0.11172214150428772
visa,capsules,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/visa/capsules,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.25,542,136,0.9080000519752502,0.853210985660553,0.9756904244422913,0.41345155239105225
visa,pcb1,experiments/runs/no_cad/budget_ablation/anomalydino/budget_025/visa/pcb1,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.25,904,226,0.900399923324585,0.8390243649482727,0.9922654628753662,0.7466882467269897
