dataset,category,run_dir,dtd_dir,enable_sspcab,sspcab_lambda,beta_min,beta_max,max_epochs,max_steps,check_val_every_n_epoch,train_batch_size,eval_batch_size,num_workers,seed,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,capsules,experiments/runs/no_cad/draem_calibration/visa/capsules,/home/ctao40/sim2real_industrial_review/datasets/dtd,False,0.1,0.1,1.0,999,1000,,8,16,4,42,0.7700000405311584,0.8122270703315735,0.8456666469573975,0.125237375497818
visa,macaroni2,experiments/runs/no_cad/draem_calibration/visa/macaroni2,/home/ctao40/sim2real_industrial_review/datasets/dtd,False,0.1,0.1,1.0,999,1000,,8,16,4,42,0.5038000345230103,0.6576271057128906,0.9346342086791992,0.01523394975811243
