dataset,category,run_dir,num_neighbours,encoder_name,masking,auto_masking,coreset_subsampling,sampling_ratio,precision,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/mvtec_ad/toothbrush,1,dinov2_vit_small_14,True,True,False,0.1,float32,16,16,4,42,0.05,60,3,0.9944443702697754,0.9655172228813171,0.987035870552063,0.5588259696960449
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/mvtec_ad/capsule,1,dinov2_vit_small_14,True,True,False,0.1,float32,16,16,4,42,0.05,219,11,0.927004337310791,0.954954981803894,0.9853596687316895,0.48142799735069275
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/mvtec_ad/cable,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.05,224,12,0.9121063947677612,0.8613861203193665,0.9473162889480591,0.5869401097297668
