dataset,category,run_dir,backbone,layers,coreset_sampling_ratio,num_neighbors,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/mvtec_ad/toothbrush,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,60,6,0.8972222805023193,0.920634925365448,0.9810265898704529,0.5676379799842834
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/mvtec_ad/capsule,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,219,22,0.9130434989929199,0.959276020526886,0.98832768201828,0.5046992897987366
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/mvtec_ad/cable,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,224,23,0.9449025988578796,0.8979591727256775,0.978788435459137,0.61119544506073
