dataset,category,run_dir,backbone,layers,coreset_sampling_ratio,num_neighbors,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,macaroni2,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/visa/macaroni2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,900,45,0.6165000200271606,0.6823529601097107,0.9508264064788818,0.05181581526994705
visa,capsules,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/visa/capsules,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,542,28,0.7473333477973938,0.772357702255249,0.9688913822174072,0.4992847442626953
visa,pcb1,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/visa/pcb1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,904,46,0.8890000581741333,0.8247422575950623,0.9938793182373047,0.7511955499649048
