dataset,category,run_dir,num_neighbours,encoder_name,masking,auto_masking,coreset_subsampling,sampling_ratio,precision,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/mvtec_ad/toothbrush,1,dinov2_vit_small_14,True,True,False,0.1,float32,16,16,4,42,0.1,60,6,0.9888889193534851,0.9508196711540222,0.9872931241989136,0.5675526261329651
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/mvtec_ad/capsule,1,dinov2_vit_small_14,True,True,False,0.1,float32,16,16,4,42,0.1,219,22,0.929397702217102,0.9502262473106384,0.9863955974578857,0.4889547526836395
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/anomalydino/budget_010/mvtec_ad/cable,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.1,224,23,0.9209145307540894,0.8735632300376892,0.9503097534179688,0.5820700526237488
