dataset,category,run_dir,dtd_dir,enable_sspcab,sspcab_lambda,beta_min,beta_max,max_epochs,max_steps,check_val_every_n_epoch,train_batch_size,eval_batch_size,num_workers,seed,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,capsules,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/draem/visa/capsules,/home/ctao40/sim2real_industrial_review/datasets/dtd,False,0.1,0.1,1.0,1,20,,8,16,4,42,0.6550000309944153,0.7692307829856873,0.7072052955627441,0.0
visa,macaroni2,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/draem/visa/macaroni2,/home/ctao40/sim2real_industrial_review/datasets/dtd,False,0.1,0.1,1.0,1,20,,8,16,4,42,0.6281999945640564,0.6666666865348816,0.9597663283348083,0.004725931212306023
