dataset,category,run_dir,num_neighbours,encoder_name,masking,auto_masking,coreset_subsampling,sampling_ratio,precision,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,macaroni2,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/visa/macaroni2,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.05,900,45,0.7362500429153442,0.7312775254249573,0.9311637282371521,0.105071522295475
visa,capsules,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/visa/capsules,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.05,542,28,0.903166651725769,0.8820512890815735,0.9696494340896606,0.3801814615726471
visa,pcb1,experiments/runs/no_cad/budget_ablation/anomalydino/budget_005/visa/pcb1,1,dinov2_vit_small_14,False,True,False,0.1,float32,16,16,4,42,0.05,904,46,0.8525000810623169,0.7981220483779907,0.9918769598007202,0.705155074596405
