dataset,category,run_dir,backbone,layers,coreset_sampling_ratio,num_neighbors,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,macaroni2,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/visa/macaroni2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,900,225,0.6537999510765076,0.6865671873092651,0.9661300182342529,0.08652941882610321
visa,capsules,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/visa/capsules,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,542,136,0.7261666655540466,0.7674418687820435,0.9793152213096619,0.5997028350830078
visa,pcb1,experiments/runs/no_cad/budget_ablation/patchcore/budget_025/visa/pcb1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.25,904,226,0.9113000631332397,0.8430493474006653,0.9955813884735107,0.7689359188079834
